name,price,url,source,rating,reviews,weight_g
Diwali Special Gift Hamper,1047.0,https://adlersden.com/product/diwali-special-gift-hamper/,adlers,,,
Diwali Dessert Gift Hamper,1694.0,https://adlersden.com/product/diwali-dessert-gift-hamper/,adlers,,,
Christmas Basket Hamper,1904.0,https://adlersden.com/product/buy-new-year-chocolate-gift-hampers/,adlers,,,
Christmas Gourmet Gift Box,1190.0,https://adlersden.com/product/christmas-gourmet-gift-box/,adlers,,,
Christmas Tree Chocolate Box,132.0,https://adlersden.com/product/christmas-tree-chocolate-box/,adlers,,,
Special Grand Hamper,4190.0,https://adlersden.com/product/special-grand-hamper/,adlers,,,
Gift Collection of Healthy Nuts & Berries,1142.0,https://adlersden.com/product/gift-collection-of-healthy-nuts-berries-2/,adlers,,,
Special Christmas Hamper,761.0,https://adlersden.com/product/special-christmas-hamper/,adlers,,,
Christmas Chocolate Crayons Gift Box,666.0,https://adlersden.com/product/christmas-chocolate-crayons-gift-box/,adlers,,,
Diwali Happiness In Mini Jars Gift Box,876.0,https://adlersden.com/product/diwali-happiness-in-mini-jars-gift-box/,adlers,,,
Diwali Trunkful of Chocolates,1101.0,https://adlersden.com/product/diwali-trunkful-of-chocolates/,adlers,,,
Diwali Gourmet Gift Trunk,1143.0,https://adlersden.com/product/diwali-gourmet-gift-trunk/,adlers,,,
Sinful Chocolate Gift Box,1332.0,https://adlersden.com/product/diwali-sinful-chocolate-gift-box/,adlers,,,
Diwali Suave Gift Box,1332.0,https://adlersden.com/product/diwali-suave-gift-box/,adlers,,,
Diwali Gourmet Gift Box,1237.0,https://adlersden.com/product/diwali-gourmet-gift-box/,adlers,,,
Diwali Artisan Chocolates Gift Box,1332.0,https://adlersden.com/product/diwali-artisan-chocolates-gift-box/,adlers,,,
Diwali Classic Gift Box,1142.0,https://adlersden.com/product/diwali-classic-gift-box/,adlers,,,
Diwali Premium Gift Box,1332.0,https://adlersden.com/product/diwali-premium-gift-box/,adlers,,,
Sugar-Free Chocolate Bar,494.0,https://adlersden.com/product/sugar-free-chocolate-bar/,adlers,,,
Mini Peanut Clusters (In Milk Chocolate),361.0,https://adlersden.com/product/mini-peanut-clusters-in-milk-chocolate/,adlers,,,
Eco-Friendly Chocolate Ganesha – Fearless (अभय),13334.0,https://adlersden.com/product/eco-friendly-chocolate-ganesha/,adlers,,,
Mini Peanut Clusters (In Dark Chocolate),361.0,https://adlersden.com/product/mini-peanut-clusters-in-dark-chocolate/,adlers,,,
Chocolate Bar,428.0,https://adlersden.com/product/chocolate-bar/,adlers,,,
Cute Delectable Baby Shower Hamper,3856.0,https://adlersden.com/product/cute-delectable-baby-shower-hamper/,adlers,,,
Big Hamper (Vegan),106.0,https://adlersden.com/product/big-hamper-vegan/,adlers,,,
Medium Hamper (Sugar Free),106.0,https://adlersden.com/product/medium-hamper-sugar-free/,adlers,,,
Big Hamper (Sugar Free),106.0,https://adlersden.com/product/big-hamper-sugar-free/,adlers,,,
Big Hamper,106.0,https://adlersden.com/product/big-hamper/,adlers,,,
Medium Hamper (Vegan),106.0,https://adlersden.com/product/medium-hamper-vegan/,adlers,,,
Delectable Assortment Prasad Box of Chocolate Modaks,618.0,https://adlersden.com/product/delectable-assortment-box-of-chocolate-modaks/,adlers,,,
Scrumptious Prasad Box of Nutty Chocolate Modaks,570.0,https://adlersden.com/product/scrumptious-box-of-nutty-chocolate-modaks/,adlers,,,
Keto-Friendly Modak Prasad Box – Sugar Free,285.0,https://adlersden.com/product/keto-friendly-modak-box-sugarfree/,adlers,,,
Ganpati Dessert Prasad Hamper,904.0,https://adlersden.com/product/ganpati-dessert-gift-hamper/,adlers,,,
Healthy Nutritious Modak Prasad Box,475.0,https://adlersden.com/product/healthy-nutritious-modak-box/,adlers,,,
Dalgona Coffee Chocolate Dessert (In White Chocolate),409.0,https://adlersden.com/product/dalgona-coffee-chocolate-dessert/,adlers,,,
Irresistible Valentine’s Day Dessert Gift Hamper,1551.0,https://adlersden.com/product/dessert-gift-hamper/,adlers,,,
Special Gift Hamper,904.0,https://adlersden.com/product/special-gift-hamper/,adlers,,,
Valentine’s Day Suave Gift Hamper,1094.0,https://adlersden.com/product/suave-gift-hamper/,adlers,,,
Kolkata Meetha Paan Dessert (In White Chocolate),399.0,https://adlersden.com/product/kolkatta-meetha-paan-dessert-in-white-chocolate/,adlers,,,
Diwali Gift Collection of Healthy Nuts & Berries,1237.0,https://adlersden.com/product/gift-collection-of-healthy-nuts-berries/,adlers,,,
Tags,48.0,https://adlersden.com/product/tags/,adlers,,,
Artisan Chocolate Modak Prasad Box with 21 Modaks,618.0,https://adlersden.com/product/artisan-chocolate-modak-box-with-21-modaks/,adlers,,,
Suave Gift Box,1190.0,https://adlersden.com/product/suave-gift-box/,adlers,,,
Gourmet Gift Box,1190.0,https://adlersden.com/product/gourmet-gift-box/,adlers,,,
Artisan Chocolates Gift Box,1190.0,https://adlersden.com/product/artisan-chocolates-gift-box/,adlers,,,
Classic Gift Box,951.0,https://adlersden.com/product/classic-gift-box/,adlers,,,
Trunkful of Chocolates,1101.0,https://adlersden.com/product/trunkful-of-chocolates/,adlers,,,
Sinful Chocolate Gift Box,1190.0,https://adlersden.com/product/sinful-chocolate-gift-box/,adlers,,,
Gourmet Gift Trunk,1237.0,https://adlersden.com/product/gourmet-gift-trunk/,adlers,,,
Nutri-Bar (In Dark Chocolate),123.0,https://adlersden.com/product/nutri-bar-in-dark-chocolate/,adlers,,,
Happiness In Mini Jars Gift Box,713.0,https://adlersden.com/product/happiness-in-mini-jars-gift-box/,adlers,,,
Masala Dates,285.0,https://adlersden.com/product/masala-dates/,adlers,,,
Chilli Mango,456.0,https://adlersden.com/product/chilli-mango/,adlers,,,
Trail Mix,294.0,https://adlersden.com/product/trail-mix/,adlers,,,
Zebra Mix,294.0,https://adlersden.com/product/zebra-mix/,adlers,,,
Multi-Seeds Mix,342.0,https://adlersden.com/product/multi-seeds-mix/,adlers,,,
The Walnut Brownie Chocolate Dessert,380.0,https://adlersden.com/product/the-walnut-brownie-chocolate-dessert/,adlers,,,
Plain Raisins,123.0,https://adlersden.com/product/plain-raisins/,adlers,,,
Roasted Pistachios,247.0,https://adlersden.com/product/roasted-pistachios/,adlers,,,
Barbeque Almonds,361.0,https://adlersden.com/product/barbeque-almonds/,adlers,,,
Plain Cashews,190.0,https://adlersden.com/product/plain-cashews/,adlers,,,
Sea Salt Cashews,361.0,https://adlersden.com/product/sea-salt-cashews/,adlers,,,
Herbed Cashews,380.0,https://adlersden.com/product/herbed-cashews/,adlers,,,
Paneer Tikka Cashews,380.0,https://adlersden.com/product/paneer-tikka-cashews/,adlers,,,
Rose Praline Barks (In Dark Chocolate),380.0,https://adlersden.com/product/rose-praline-barks/,adlers,,,
California Almonds,209.0,https://adlersden.com/product/california-almonds/,adlers,,,
Tuiles (Sugar Free),285.0,https://adlersden.com/product/tuiles-sugar-free/,adlers,,,
Mendiants (Sugar Free),285.0,https://adlersden.com/product/mendiants/,adlers,,,
Hot Chocolate Stick (Sugar Free),94.0,https://adlersden.com/product/chocolate-stick/,adlers,,,
Oreo Cashews (In White Chocolate),380.0,https://adlersden.com/product/oreo-cashews-in-milk-chocolate/,adlers,,,
Date and Coconut Thins (Sugar-Free),437.0,https://adlersden.com/product/date-and-coconut-thins/,adlers,,,
Date and Walnut Thins (Sugar Free),437.0,https://adlersden.com/product/date-and-walnut-thins/,adlers,,,
Mint Thins (Sugar Free),418.0,https://adlersden.com/product/mint-thins/,adlers,,,
Intense Orange Barks (Sugar Free),437.0,https://adlersden.com/product/intense-orange-barks/,adlers,,,
Rocky Road Bites (Sugar Free),523.0,https://adlersden.com/product/rocky-road-bites/,adlers,,,
Almond Rochers (Sugar Free),437.0,https://adlersden.com/product/almond-rochers/,adlers,,,
Black Currant Squares (Sugar Free),475.0,https://adlersden.com/product/black-current-squares/,adlers,,,
Crunchy Chocolate Bites (Sugar Free),275.0,https://adlersden.com/product/crunchy-chocolate-bites/,adlers,,,
Cookie Chocolates (Sugar Free),218.0,https://adlersden.com/product/cookie-chocolates/,adlers,,,
Badaam Elaichi Stick (In White Chocolate),75.0,https://adlersden.com/product/badam-elaichi-stick-in-white-chocolate/,adlers,,,
Almond Rochers (In Dark Chocolate),370.0,https://adlersden.com/product/almond-rochers-in-dark-chocolate/,adlers,,,
Mint Thins (In Dark Chocolate),285.0,https://adlersden.com/product/mint-thins-in-dark-chocolate/,adlers,,,
Date & Walnut Thins (In Dark Chocolate),437.0,https://adlersden.com/product/date-walnut-thins-in-dark-chocolate/,adlers,,,
Date & Coconut Thins (In Dark Chocolate),323.0,https://adlersden.com/product/date-coconut-thins-in-dark-chocolate/,adlers,,,
Chocolate Coated Raisins,570.0,https://adlersden.com/product/chocolate-coated-raisins/,adlers,,,
Chocolate Coated Cashews,599.0,https://adlersden.com/product/chocolate-coated-cashews/,adlers,,,
Hot Chocolate Stick (In Dark Chocolate),66.0,https://adlersden.com/product/hot-chocolate-stick-in-dark-chocolate/,adlers,,,
Tangy Masala Cranberries,351.0,https://adlersden.com/product/tangy-masala-cranberries/,adlers,,,
Tangy Masala Orange,380.0,https://adlersden.com/product/tangy-masala-orange/,adlers,,,
Chilli Guava,428.0,https://adlersden.com/product/chilli-guava/,adlers,,,
Chocolate Coated Crunchies,561.0,https://adlersden.com/product/chocolate-coated-crunchies-2/,adlers,,,
Chocolate Coated Almonds,618.0,https://adlersden.com/product/chocolate-coated-almonds/,adlers,,,
Cardamom Raisins,285.0,https://adlersden.com/product/cardamom-raisins/,adlers,,,
Chatpata Raisins,218.0,https://adlersden.com/product/chatpata-raisins/,adlers,,,
Chatpata Black Grapes,275.0,https://adlersden.com/product/chatpata-black-grapes/,adlers,,,
Mendiants (In Milk Chocolate),237.0,https://adlersden.com/product/mendiants-in-milk-chocolate/,adlers,,,
Tuiles (In Dark Chocolate),237.0,https://adlersden.com/product/tuiles-in-dark-chocolate/,adlers,,,
Peppered Cashews,370.0,https://adlersden.com/product/peppered-cashews/,adlers,,,
Fiery Red Cashews,370.0,https://adlersden.com/product/fiery-red-cashews/,adlers,,,
Betel/Paan Flavoured Raisins,228.0,https://adlersden.com/product/betel-paan-flavoured-raisins/,adlers,,,
Intense Orange Barks (In Dark Chocolate),285.0,https://adlersden.com/product/intense-orange-barks-in-dark-chocolate/,adlers,,,
Rocky Road Bites (Dark Chocolate),361.0,https://adlersden.com/product/rocky-road-bites-dark-chocolate/,adlers,,,
Black Currant Squares (Dark Chocolate),370.0,https://adlersden.com/product/black-current-squares-dark-chocolate/,adlers,,,
Sea Salt Almonds,332.0,https://adlersden.com/product/sea-salt-almonds/,adlers,,,
Crunchy Chocolate Bites (Dark Chocolate),228.0,https://adlersden.com/product/crunchy-chocolate-bites-dark-chocolate/,adlers,,,
Cookie Chocolates (Dark Chocolate),132.0,https://adlersden.com/product/cookie-chocolates-dark-chocolate/,adlers,,,
Grandeur Hamper Basket,10990.0,https://entisi.com/collections/all/products/grandeur-gift-basket,entisi,,,1360.0
Ultimate Hamper Basket,6495.0,https://entisi.com/collections/all/products/ultimate-hamper-basket,entisi,,,800.0
Chocolate Royal Hamper,5990.0,https://entisi.com/collections/all/products/chocolate-royal-hamper,entisi,,,1000.0
Family & Friends Festive Hamper Basket,4545.0,https://entisi.com/collections/all/products/family-friends-festive-basket,entisi,,,
Delight Hamper Basket,3295.0,https://entisi.com/collections/all/products/delight-hamper-basket,entisi,,,775.0
The Signature Basket,3190.0,https://entisi.com/collections/all/products/the-signature-basket,entisi,,,516.0
Joy Hamper Basket,2545.0,https://entisi.com/collections/all/products/joy-hamper-basket,entisi,,,461.0
Pralines Box of 25,2250.0,https://entisi.com/collections/all/products/pralines-box-of-25,entisi,,,250.0
Signature Box of 25 Bonbons,2250.0,https://entisi.com/collections/all/products/signature-box-of-25-bonbons,entisi,,,250.0
Classic Box of 25 Bonbons,2250.0,https://entisi.com/collections/all/products/box-of-25-bonbons,entisi,,,250.0
Gift Box of 4 Dragees Jars,2200.0,https://entisi.com/collections/all/products/gift-box-of-4-dragees-jars,entisi,,,480.0
Gift Box of 3 Dragees Jars,1650.0,https://entisi.com/collections/all/products/gift-box-of-3-dragees-jars,entisi,,,360.0
Signature Box of 16 Bonbons,1600.0,https://entisi.com/collections/all/products/signature-box-of-16-bonbons,entisi,,,160.0
Classic Bonbon Box of 16,1600.0,https://entisi.com/collections/all/products/classic-bonbon-box-of-9,entisi,,,160.0
Gift Box of 15 Chocolate Creminos,1600.0,https://entisi.com/collections/all/products/gift-box-of-15-chocolate-creminos,entisi,,,195.0
Pralines Box of 16,1600.0,https://entisi.com/collections/all/products/classic-16-praline-box,entisi,,,160.0
Classic Duo Gift Box,1543.0,https://entisi.com/collections/all/products/classic-duo-gift-box,entisi,,,250.0
Milk Chocolate Almond Discs,1375.0,https://entisi.com/collections/all/products/milk-chocolate-almond-discs,entisi,,,250.0
Dark Chocolate Almond Discs,1375.0,https://entisi.com/collections/all/products/dark-chocolate-almond-discs,entisi,,,250.0
Milk Chocolate Hazelnut Fingers,1375.0,https://entisi.com/collections/all/products/milk-chocolate-hazelnut-fingers,entisi,,,250.0
